filename,xmin,ymin,xmax,ymax
/home/rafik/caffe/images/pedestrians.jpg,1,1,950,361
/home/rafik/caffe/images/pedestrians.jpg,1,161,929,361
/home/rafik/caffe/images/pedestrians.jpg,1,1,950,319
/home/rafik/caffe/images/pedestrians.jpg,65,161,929,361
/home/rafik/caffe/images/pedestrians.jpg,1,1,523,220
/home/rafik/caffe/images/pedestrians.jpg,1,138,950,361
/home/rafik/caffe/images/pedestrians.jpg,1,167,448,361
/home/rafik/caffe/images/pedestrians.jpg,374,161,929,319
/home/rafik/caffe/images/pedestrians.jpg,65,192,880,361
/home/rafik/caffe/images/pedestrians.jpg,89,239,880,361
/home/rafik/caffe/images/pedestrians.jpg,201,1,523,218
/home/rafik/caffe/images/pedestrians.jpg,1,1,950,218
/home/rafik/caffe/images/pedestrians.jpg,1,141,582,361
/home/rafik/caffe/images/pedestrians.jpg,65,192,563,305
/home/rafik/caffe/images/pedestrians.jpg,179,138,950,361
/home/rafik/caffe/images/pedestrians.jpg,89,298,880,361
/home/rafik/caffe/images/pedestrians.jpg,1,1,711,218
/home/rafik/caffe/images/pedestrians.jpg,1,141,582,331
/home/rafik/caffe/images/pedestrians.jpg,1,1,381,220
/home/rafik/caffe/images/pedestrians.jpg,340,222,399,286
/home/rafik/caffe/images/pedestrians.jpg,1,1,215,208
/home/rafik/caffe/images/pedestrians.jpg,1,141,281,239
/home/rafik/caffe/images/pedestrians.jpg,308,220,337,285
/home/rafik/caffe/images/pedestrians.jpg,14,1,453,116
/home/rafik/caffe/images/pedestrians.jpg,1,1,711,197
/home/rafik/caffe/images/pedestrians.jpg,1,141,215,208
/home/rafik/caffe/images/pedestrians.jpg,65,192,465,299
/home/rafik/caffe/images/pedestrians.jpg,189,76,381,220
/home/rafik/caffe/images/pedestrians.jpg,319,98,506,218
/home/rafik/caffe/images/pedestrians.jpg,374,115,471,172
/home/rafik/caffe/images/pedestrians.jpg,375,137,439,187
/home/rafik/caffe/images/pedestrians.jpg,1,295,495,361
/home/rafik/caffe/images/pedestrians.jpg,201,1,513,121
/home/rafik/caffe/images/pedestrians.jpg,103,237,242,283
/home/rafik/caffe/images/pedestrians.jpg,374,161,711,319
/home/rafik/caffe/images/pedestrians.jpg,1,167,279,326
/home/rafik/caffe/images/pedestrians.jpg,319,113,506,218
/home/rafik/caffe/images/pedestrians.jpg,366,146,506,218
/home/rafik/caffe/images/pedestrians.jpg,179,165,950,361
/home/rafik/caffe/images/pedestrians.jpg,65,237,374,299
/home/rafik/caffe/images/pedestrians.jpg,178,192,465,290
/home/rafik/caffe/images/pedestrians.jpg,201,1,470,121
/home/rafik/caffe/images/pedestrians.jpg,1,145,582,331
/home/rafik/caffe/images/pedestrians.jpg,8,65,215,197
/home/rafik/caffe/images/pedestrians.jpg,1,145,563,331
/home/rafik/caffe/images/pedestrians.jpg,1,187,481,331
/home/rafik/caffe/images/pedestrians.jpg,89,1,711,196
/home/rafik/caffe/images/pedestrians.jpg,319,79,523,218
/home/rafik/caffe/images/pedestrians.jpg,1,187,267,295
/home/rafik/caffe/images/pedestrians.jpg,1,1,100,208
/home/rafik/caffe/images/pedestrians.jpg,179,299,608,361
/home/rafik/caffe/images/pedestrians.jpg,241,333,579,361
/home/rafik/caffe/images/pedestrians.jpg,1,1,184,197
/home/rafik/caffe/images/pedestrians.jpg,9,122,32,197
/home/rafik/caffe/images/pedestrians.jpg,1,15,100,208
/home/rafik/caffe/images/pedestrians.jpg,89,298,608,361
/home/rafik/caffe/images/pedestrians.jpg,1,1,184,186
/home/rafik/caffe/images/pedestrians.jpg,65,237,331,299
/home/rafik/caffe/images/pedestrians.jpg,184,237,331,299
/home/rafik/caffe/images/pedestrians.jpg,231,94,334,196
/home/rafik/caffe/images/pedestrians.jpg,319,113,375,196
/home/rafik/caffe/images/pedestrians.jpg,144,334,495,361
/home/rafik/caffe/images/pedestrians.jpg,374,161,582,287
/home/rafik/caffe/images/pedestrians.jpg,1,267,448,361
/home/rafik/caffe/images/pedestrians.jpg,179,299,608,346
